Year,Week_Number,mean_return,volatility,Label
2018,0,0.43025,0.306522838,undefined
2018,1,0.3276,0.363788812,undefined
2018,2,0.2245,0.594087816,undefined
2018,3,0.4372,0.523078101,undefined
2018,4,-0.786,0.888550786,undefined
2018,5,-1.0006,2.871575839,undefined
2018,6,0.8746,0.679494886,undefined
2018,7,0.15025,1.017565846,undefined
2018,8,-0.408,1.170588741,undefined
2018,9,0.7194,0.720485114,undefined
2018,10,-0.2572,0.31190816,undefined
2018,11,-1.2012,1.169735739,undefined
2018,12,0.5045,1.921919613,undefined
2018,13,-0.2492,1.783665243,undefined
2018,14,0.4178,0.856755333,undefined
2018,15,0.1126,0.835134001,undefined
2018,16,-0.0008,0.854219644,undefined
2018,17,-0.0376,0.835611333,undefined
2018,18,0.509,0.424610998,undefined
2018,19,-0.1108,0.406951717,undefined
2018,20,0.0612,0.446753511,undefined
2018,21,0.13825,1.206330075,undefined
2018,22,0.3338,0.339291468,undefined
2018,23,0.0134,0.231884238,undefined
2018,24,-0.1726,0.352017471,undefined
2018,25,-0.2504,0.809500649,undefined
2018,26,0.38075,0.569237721,undefined
2018,27,0.303,0.678934091,undefined
2018,28,0.007,0.304518472,undefined
2018,29,0.1254,0.60213437,undefined
2018,30,0.1554,0.475101358,undefined
2018,31,-0.0304,0.420832865,undefined
2018,32,0.1356,0.6692117,undefined
2018,33,0.1718,0.290266602,undefined
2018,34,0.1946,0.471422634,undefined
2018,35,-0.234,0.060986337,undefined
2018,36,0.2272,0.24042816,undefined
2018,37,0.168,0.526640295,undefined
2018,38,-0.087,0.249183667,undefined
2018,39,-0.1996,0.461714522,undefined
2018,40,-0.8252,1.831845163,undefined
2018,41,0.029,1.340054477,undefined
2018,42,-0.7906,1.790869705,undefined
2018,43,0.4936,0.988460824,undefined
2018,44,0.4336,1.155045367,undefined
2018,45,-0.2872,1.088703679,undefined
2018,46,-0.96725,1.017496396,undefined
2018,47,0.9288,1.015304486,undefined
2018,48,-1.098,2.069801923,undefined
2018,49,-0.2326,0.925878394,undefined
2018,50,-1.4494,0.78270863,undefined
2018,51,0.76225,3.203395737,undefined
2018,52,0.876,0,undefined
2019,0,0.356,2.876291362,undefined
2019,1,0.5174,0.357158648,undefined
2019,2,0.5736,0.782070521,undefined
2019,3,-0.06075,0.926039011,undefined
2019,4,0.3232,0.915433613,undefined
2019,5,0.032,0.633753501,undefined
2019,6,0.5068,0.654904344,undefined
2019,7,0.15975,0.399911969,undefined
2019,8,0.0918,0.319125681,undefined
2019,9,-0.4286,0.291679276,undefined
2019,10,0.5838,0.553825965,undefined
2019,11,-0.1418,1.129460579,undefined
2019,12,0.2314,0.526367552,undefined
2019,13,0.4282,0.453142031,undefined
2019,14,0.1106,0.442486497,undefined
2019,15,-0.01175,0.188735044,undefined
2019,16,0.2334,0.450972061,undefined
2019,17,0.0438,0.630130701,undefined
2019,18,-0.4044,0.791214446,undefined
2019,19,-0.1488,1.4697924,undefined
2019,20,-0.2122,0.816156051,undefined
2019,21,-0.669,0.687151124,undefined
2019,22,0.8868,0.868927903,undefined
2019,23,0.1122,0.300961293,undefined
2019,24,0.4242,0.543610798,undefined
2019,25,-0.0666,0.582305161,undefined
2019,26,0.4635,0.47809727,undefined
2019,27,0.1472,0.416122218,undefined
2019,28,-0.232,0.430708718,undefined
2019,29,0.3246,0.485592216,undefined
2019,30,-0.629,0.399196067,undefined
2019,31,-0.053,1.956418539,undefined
2019,32,-0.1758,1.919420928,undefined
2019,33,-0.2694,1.494926185,undefined
2019,34,0.5302,0.724503416,undefined
2019,35,0.47825,0.889809483,undefined
2019,36,0.2036,0.326097071,undefined
2019,37,-0.095,0.291889534,undefined
2019,38,-0.1928,0.527721707,undefined
2019,39,-0.0638,1.344320535,undefined
2019,40,0.136,1.110948919,undefined
2019,41,0.115,0.554771575,undefined
2019,42,0.2428,0.370939618,undefined
2019,43,0.3002,0.471931351,undefined
2019,44,0.1826,0.219461386,undefined
2019,45,0.1844,0.338194175,undefined
2019,46,-0.0532,0.226801014,undefined
2019,47,0.26925,0.482607069,undefined
2019,48,0.038,0.77628603,undefined
2019,49,0.156,0.451873876,undefined
2019,50,0.3126,0.293189018,undefined
2019,51,0.16575,0.256368712,undefined
2019,52,-0.154,0.561442784,undefined
2020,0,0.089,1.196424674,undefined
2020,1,0.2046,0.458675593,undefined
2020,2,0.381,0.390724967,undefined
2020,3,-0.2395,0.451908914,undefined
2020,4,-0.4258,1.242150836,undefined
2020,5,0.645,0.794592663,undefined
2020,6,0.3234,0.359438868,undefined
2020,7,-0.30525,0.619720031,undefined
2020,8,-2.3252,1.846044339,undefined
2020,9,0.1388,3.817872339,undefined
2020,10,-1.7056,8.087233755,undefined
2020,11,-2.9406,6.121423797,undefined
2020,12,2.172,5.249840474,undefined
2020,13,-0.376,3.151610461,undefined
2020,14,2.9245,2.85794944,undefined
2020,15,0.619,2.217155723,undefined
2020,16,-0.2384,2.173994779,undefined
2020,17,0.0044,2.062653703,undefined
2020,18,0.6768,0.907636877,undefined
2020,19,-0.4168,1.403357474,undefined
2020,20,0.6436,1.707376731,undefined
2020,21,0.7455,0.761940286,undefined
2020,22,0.9726,1.064042433,undefined
2020,23,-0.9324,2.857146356,undefined
2020,24,0.3822,1.042656079,undefined
2020,25,-0.5504,1.761141193,undefined
2020,26,1.0005,0.444019894,undefined
2020,27,0.346,1.095415903,undefined
2020,28,0.262,0.88363652,undefined
2020,29,-0.0494,0.843767918,undefined
2020,30,0.3516,0.803077394,undefined
2020,31,0.4884,0.262867457,undefined
2020,32,0.138,0.814065722,undefined
2020,33,0.1568,0.324287989,undefined
2020,34,0.6462,0.36472003,undefined
2020,35,-0.4462,1.911817774,undefined
2020,36,-0.6105,2.072832603,undefined
2020,37,-0.121,1.021195378,undefined
2020,38,-0.106,1.603328725,undefined
2020,39,0.3134,1.055009147,undefined
2020,40,0.7742,1.302133902,undefined
2020,41,0.0288,0.925270609,undefined
2020,42,-0.0838,0.8498251,undefined
2020,43,-1.1276,1.656770141,undefined
2020,44,1.4098,0.899440215,undefined
2020,45,0.4534,0.997773171,undefined
2020,46,-0.1514,0.978009867,undefined
2020,47,0.58375,0.751137526,undefined
2020,48,0.3392,0.63357612,undefined
2020,49,-0.192,0.436850089,undefined
2020,50,0.2442,0.746118422,undefined
2020,51,-0.012,0.324330079,undefined
2020,52,0.32975,0.453848268,undefined
2021,1,0.3964,1.052624957,red
2021,2,-0.2926,0.433862075,red
2021,3,0.4765,0.765303643,red
2021,4,-0.6696,1.471265714,green
2021,5,0.9378,0.676114413,green
2021,6,0.2534,0.345301028,green
2021,7,-0.16675,0.191207348,red
2021,8,-0.4942,1.291565213,green
2021,9,0.1844,1.801773654,green
2021,10,0.5402,0.751899727,red
2021,11,-0.1658,0.790755145,green
2021,12,0.3358,0.983302954,green
2021,13,0.29225,0.594869944,green
2021,14,0.5388,0.587109189,red
2021,15,0.2796,0.519621786,green
2021,16,-0.0212,0.958931541,green
2021,17,0.0276,0.46867238,red
2021,18,0.2314,0.576402897,red
2021,19,-0.254,1.562890431,green
2021,20,-0.0768,0.709086172,red
2021,21,0.2454,0.463840813,green
2021,22,0.15325,0.551759836,green
2021,23,0.081,0.246320929,green
2021,24,-0.3798,0.611285285,green
2021,25,0.5586,0.562985169,red
2021,26,0.3316,0.312887839,green
2021,27,0.10575,0.799106741,green
2021,28,-0.192,0.451094779,red
2021,29,0.4008,1.139126507,green
2021,30,-0.0646,0.405338501,green
2021,31,0.182,0.550239493,red
2021,32,0.1546,0.14752898,green
2021,33,-0.1128,0.754390284,red
2021,34,0.3106,0.614156983,red
2021,35,0.1258,0.242190421,red
2021,36,-0.424,0.2757245,red
2021,37,-0.1164,0.70010235,red
2021,38,0.1188,1.137017238,green
2021,39,-0.4334,1.238516774,green
2021,40,0.17,0.943091459,green
2021,41,0.3668,0.928890306,green
2021,42,0.3234,0.313251177,green
2021,43,0.2702,0.524175257,red
2021,44,0.401,0.161528635,green
2021,45,-0.0526,0.574547039,red
2021,46,0.0696,0.291736696,green
2021,47,-0.528,1.158485506,red
2021,48,-0.2336,1.529529764,green
2021,49,0.7566,1.028055592,green
2021,50,-0.3916,1.100164897,red
2021,51,0.58375,1.198328384,red
2021,52,0.1866,0.705498972,green
2022,1,-0.3726,0.934536944,red
2022,2,-0.056,0.837120362,red
2022,3,-1.46975,0.466205516,red
2022,4,0.1886,1.411639933,red
2022,5,0.3136,1.572823353,red
2022,6,-0.3606,1.532277488,red
2022,7,-0.2772,1.352723438,red
2022,8,0.216,1.93590995,green
2022,9,-0.2498,1.261547938,green
2022,10,-0.5498,2.04718812,red
2022,11,1.2062,1.201507886,green
2022,12,0.3696,1.101687025,red
2022,13,0.015,1.102708484,green
2022,14,-0.2338,0.919457829,red
2022,15,-0.545,1.255822705,green
2022,16,-0.5316,1.655575519,red
2022,17,-0.641,2.587897989,red
2022,18,-0.0092,2.389094745,green
2022,19,-0.4546,2.093172067,red
2022,20,-0.5896,2.195642571,green
2022,21,1.2888,1.282234456,red
2022,22,-0.27675,1.525443843,red
2022,23,-1.0204,1.662262705,green
2022,24,-1.1532,2.285535539,red
2022,25,1.62375,1.515281574,green
2022,26,-0.452,1.127333358,red
2022,27,0.48575,0.696869368,red
2022,28,-0.1768,1.21631542,green
2022,29,0.5206,1.494258612,green
2022,30,0.8496,1.435963196,red
2022,31,0.0746,0.863268672,green
2022,32,0.656,1.150612228,red
2022,33,-0.231,0.764276128,red
2022,34,-0.7954,1.922521209,red
2022,35,-0.652,0.571322588,red
2022,36,0.907,0.987146392,green
2022,37,-0.9578,2.091060903,green
2022,38,-0.9262,1.0226936,red
2022,39,-0.5822,1.579194637,red
2022,40,0.337,2.495164824,red
2022,41,-0.2734,1.794276261,red
2022,42,0.9254,1.64432366,red
2022,43,0.7826,1.369130856,red
2022,44,-0.6522,1.415805848,red
2022,45,1.18,2.721263401,red
2022,46,-0.1226,0.751428174,green
2022,47,0.3975,0.754888734,green
2022,48,0.2386,1.748810396,red
2022,49,-0.6748,1.029089986,red
2022,50,-0.4134,1.547894796,green
2022,51,-0.0136,1.155305934,red
2022,52,-0.025,1.291891894,green
